OBSRVD_AGNT_ID,DT_RFRNC,CNTRCT_ID,INSTRMNT_ID,CRDTR_ID,DBTR_ID,JNT_LBLTY_AMNT,OTSTNDNG_NMNL_AMNT,TRNSFRRD_AMNT,NMBR_CRDTRS,NMBR_CRDTRS_NT_OA
20642001,2016-10-01,C_A,I_1,20642001,20642219,90000.0,90000.0,0.0,1,
20642001,2016-10-01,C_B,I_2,20642001,20642202,10000.0,10000.0,0.0,1,
20642001,2016-10-01,C_C,I_3,20642101,20642218,90000.0,90000.0,90000.0,1,1.0
20642001,2016-10-01,C_E,I_5,20642001,20642205,90000.0,90000.0,0.0,1,
20642001,2016-10-01,C_F,I_6,20642001,20642203,200000.0,200000.0,150000.0,3,2.0
20642001,2016-10-01,C_F,I_6,20642001,20642201,100000.0,200000.0,150000.0,3,2.0
20642001,2016-10-01,C_F,I_6,20642101,20642203,200000.0,200000.0,150000.0,3,2.0
20642001,2016-10-01,C_F,I_6,20642101,20642201,100000.0,200000.0,150000.0,3,2.0
20642001,2016-10-01,C_G,I_7,20642001,20642203,5000.0,10000.0,3000.0,3,2.0
20642001,2016-10-01,C_G,I_7,20642001,20642201,5000.0,10000.0,3000.0,3,2.0
20642001,2016-10-01,C_G,I_7,20642102,20642203,5000.0,10000.0,3000.0,3,2.0
20642001,2016-10-01,C_G,I_7,20642102,20642201,5000.0,10000.0,3000.0,3,2.0
