OBSRVD_AGNT_ID,DT_RFRNC,CNTRCT_ID,INSTRMNT_ID,CRDTR_ID,DBTR_ID,JNT_LBLTY_AMNT,TTL_LBLTY_AMNT,OTSTNDNG_NMNL_AMNT_INSTRMNT,NMBR_DBTRS,DV_SHR_ONA_DBTR,CV_SHR_ONA_DBTR,NMBR_CRDTRS,SHR_ONA_CRDTR,ACCRD_INTRST,OFF_BLNC_SHT_AMNT,ARRRS,PRFRMNG_STTS,CMLTV_RCVRS_SNC_DFLT,ACCMLTD_CHNGS_FV_CR,PRVSNS_OFF_BLNC_SHT,CRRYNG_AMNT,ACCMLTD_WRTFFS,ACCMLTD_IMPRMNT,FV_CHNG_CR_BFR_PRCHS,CMMTMNT_INCPTN,THRD_PRTY_PRRTY_CLMS,PRTCTN_ALLCTD_VL,CV_OTSTNDNG_NMNL_AMNT,CV_OFF_BLNC_SHT_AMNT,CV_CMMTMNT_INCPTN,CV_ARRRS,CV_ACCRD_INTRST,CV_ACCMLTD_WRTFFS,CV_ACCMLTD_IMPRMNT,CV_CHNGS_FV_CR_BFR_PRCHS,CV_ACCMLTD_CHNGS_FV_CR,CV_CMLTV_RCVRS_SNC_DFLT,CV_CRRYNG_AMNT,CV_PRTCTN_ALLCTD_VL,CV_PRVSNS_OFF_BLNC_SHT,CV_3PPC
20642001,2016-10-01,C_A,I_1,20642001,20642219,90000.0,90000.0,90000.0,1,1.0,1.0,1,1.0,200.0,,0.0,1,,,,80000.0,5000.0,10000.0,,300000.0,0.0,8000.0,90000.0,,300000.0,0.0,200.0,5000.0,10000.0,,,,80000.0,8000.0,,0.0
20642001,2016-10-01,C_B,I_2,20642001,20642202,10000.0,10000.0,10000.0,1,1.0,1.0,1,1.0,100.0,2500.0,0.0,11,,,,10000.0,0.0,0.0,,15000.0,500.0,2500.0,10000.0,2500.0,15000.0,0.0,100.0,0.0,0.0,,,,10000.0,2500.0,,500.0
20642001,2016-10-01,C_C,I_3,20642101,20642218,90000.0,90000.0,90000.0,1,1.0,1.0,1,1.0,200.0,,0.0,11,,,,90000.0,0.0,0.0,,300000.0,0.0,91500.0,90000.0,,300000.0,0.0,200.0,,,,,,,91500.0,,0.0
20642001,2016-10-01,C_E,I_5,20642001,20642205,90000.0,90000.0,90000.0,1,1.0,1.0,1,1.0,200.0,,100.0,11,,,,89090.0,0.0,0.0,,300000.0,100000.0,85000.0,90000.0,,300000.0,100.0,200.0,0.0,0.0,,,,89090.0,85000.0,,100000.0
20642001,2016-10-01,C_F,I_6,20642001,20642203,200000.0,300000.0,200000.0,2,1.0,0.6666666666666666,1,0.25,125.0,,0.0,11,,,,200000.0,0.0,0.0,,50000.0,0.0,100000.0,33333.33333333,,8333.33333333,0.0,20.83333333,0.0,0.0,,,,133333.33333333,16666.66666667,,0.0
20642001,2016-10-01,C_F,I_6,20642001,20642201,100000.0,300000.0,200000.0,2,0.5,0.3333333333333333,3,0.25,125.0,,0.0,11,,,,200000.0,0.0,0.0,,50000.0,0.0,100000.0,16666.66666667,,4166.66666667,0.0,10.41666667,0.0,0.0,,,,66666.66666667,8333.33333333,,0.0
20642001,2016-10-01,C_F,I_6,20642101,20642203,200000.0,300000.0,200000.0,2,1.0,0.6666666666666666,3,0.375,125.0,,0.0,11,,,,200000.0,0.0,0.0,,50000.0,0.0,100000.0,50000.0,,12500.0,0.0,31.25,,,,,,,25000.0,,0.0
20642001,2016-10-01,C_F,I_6,20642101,20642201,100000.0,300000.0,200000.0,2,0.5,0.3333333333333333,3,0.375,125.0,,0.0,11,,,,200000.0,0.0,0.0,,50000.0,0.0,100000.0,25000.0,,6250.0,0.0,15.625,,,,,,,12500.0,,0.0
20642001,2016-10-01,C_G,I_7,20642001,20642203,5000.0,10000.0,10000.0,2,0.5,0.5,3,0.7,50.0,100.0,0.0,11,,,,10000.0,0.0,0.0,,1000.0,20000.0,10000.0,3500.0,35.0,350.0,0.0,17.5,0.0,0.0,,,,5000.0,3500.0,,7000.0
20642001,2016-10-01,C_G,I_7,20642001,20642201,5000.0,10000.0,10000.0,2,0.5,0.5,3,0.7,50.0,100.0,0.0,11,,,,10000.0,0.0,0.0,,1000.0,20000.0,10000.0,3500.0,35.0,350.0,0.0,17.5,0.0,0.0,,,,5000.0,3500.0,,7000.0
20642001,2016-10-01,C_G,I_7,20642102,20642203,5000.0,10000.0,10000.0,2,0.5,0.5,3,0.15,50.0,100.0,0.0,11,,,,10000.0,0.0,0.0,,1000.0,20000.0,10000.0,750.0,7.5,75.0,0.0,3.75,,,,,,,750.0,,1500.0
20642001,2016-10-01,C_G,I_7,20642102,20642201,5000.0,10000.0,10000.0,2,0.5,0.5,3,0.15,50.0,100.0,0.0,11,,,,10000.0,0.0,0.0,,1000.0,20000.0,10000.0,750.0,7.5,75.0,0.0,3.75,,,,,,,750.0,,1500.0
