OBSRVD_AGNT_ID,DT_RFRNC,ENTTY_RIAD_ID,CNTRCT_ID,INSTRMNT_ID,ENTTY_RL,JNT_LBLTY_AMNT
"20642001",2016-10-31,"20642001","C_A","I_1","1",
"20642001",2016-10-31,"20642219","C_A","I_1","2","90000"
"20642001",2016-10-31,"20642001","C_B","I_2","1",
"20642001",2016-10-31,"20642202","C_B","I_2","2","10000"
"20642001",2016-10-31,"20642101","C_C","I_3","1",
"20642001",2016-10-31,"20642001","C_C","I_3","7",
"20642001",2016-10-31,"20642001","C_C","I_3","3",
"20642001",2016-10-31,"20642218","C_C","I_3","2","90000"
"20642001",2016-10-31,"20642001","C_E","I_5","1",
"20642001",2016-10-31,"20642205","C_E","I_5","2","90000"
"20642001",2016-10-31,"20642001","C_F","I_6","1",
"20642001",2016-10-31,"20642101","C_F","I_6","1",
"20642001",2016-10-31,"20642002","C_F","I_6","1",
"20642001",2016-10-31,"20642001","C_F","I_6","7",
"20642001",2016-10-31,"20642001","C_F","I_6","3",
"20642001",2016-10-31,"20642203","C_F","I_6","2","200000"
"20642001",2016-10-31,"20642201","C_F","I_6","2","100000"
"20642001",2016-10-31,"20642001","C_G","I_7","1",
"20642001",2016-10-31,"20642102","C_G","I_7","1",
"20642001",2016-10-31,"20642002","C_G","I_7","1",
"20642001",2016-10-31,"20642001","C_G","I_7","7",
"20642001",2016-10-31,"20642001","C_G","I_7","3",
"20642001",2016-10-31,"20642203","C_G","I_7","2","5000"
"20642001",2016-10-31,"20642201","C_G","I_7","2","5000"
